ปี,เดือน,จังหวัด,ปริมาณฝน
2513,ม.ค.,พะเยา,3.7
2513,ก.พ.,พะเยา,3.64
2513,มี.ค.,พะเยา,54.55
2513,เม.ย.,พะเยา,110.79
2513,พ.ค.,พะเยา,252.41
2513,มิ.ย.,พะเยา,323.22
2513,ก.ค.,พะเยา,163.84
2513,ส.ค.,พะเยา,408.1
2513,ก.ย.,พะเยา,264.61
2513,ต.ค.,พะเยา,52.28
2513,พ.ย.,พะเยา,12.26
2513,ธ.ค.,พะเยา,43.33
2514,ม.ค.,พะเยา,5.34
2514,ก.พ.,พะเยา,0.66
2514,มี.ค.,พะเยา,34.13
2514,เม.ย.,พะเยา,77.7
2514,พ.ค.,พะเยา,244.75
2514,มิ.ย.,พะเยา,239.18
2514,ก.ค.,พะเยา,333.65
2514,ส.ค.,พะเยา,352.04
2514,ก.ย.,พะเยา,168.71
2514,ต.ค.,พะเยา,78.26
2514,พ.ย.,พะเยา,15.04
2514,ธ.ค.,พะเยา,11.42
2515,ม.ค.,พะเยา,0.53
2515,ก.พ.,พะเยา,30.36
2515,มี.ค.,พะเยา,8.39
2515,เม.ย.,พะเยา,122.78
2515,พ.ค.,พะเยา,137.17
2515,มิ.ย.,พะเยา,152.83
2515,ก.ค.,พะเยา,218.52
2515,ส.ค.,พะเยา,367.02
2515,ก.ย.,พะเยา,133.77
2515,ต.ค.,พะเยา,79.11
2515,พ.ย.,พะเยา,78.71
2515,ธ.ค.,พะเยา,10.57
2516,ม.ค.,พะเยา,0.0
2516,ก.พ.,พะเยา,0.26
2516,มี.ค.,พะเยา,113.72
2516,เม.ย.,พะเยา,17.61
2516,พ.ค.,พะเยา,195.18
2516,มิ.ย.,พะเยา,209.12
2516,ก.ค.,พะเยา,298.97
2516,ส.ค.,พะเยา,353.52
2516,ก.ย.,พะเยา,237.93
2516,ต.ค.,พะเยา,57.7
2516,พ.ย.,พะเยา,17.17
2516,ธ.ค.,พะเยา,0.0
2517,ม.ค.,พะเยา,0.03
2517,ก.พ.,พะเยา,0.0
2517,มี.ค.,พะเยา,34.66
2517,เม.ย.,พะเยา,172.66
2517,พ.ค.,พะเยา,123.85
2517,มิ.ย.,พะเยา,138.06
2517,ก.ค.,พะเยา,132.72
2517,ส.ค.,พะเยา,261.51
2517,ก.ย.,พะเยา,174.52
