ปี,เดือน,ปริมาณฝน,จังหวัด
2513,ม.ค.,5.09,ลำปาง
2513,ก.พ.,8.31,ลำปาง
2513,มี.ค.,47.75,ลำปาง
2513,เม.ย.,75.15,ลำปาง
2513,พ.ค.,257.58,ลำปาง
2513,มิ.ย.,219.59,ลำปาง
2513,ก.ค.,158.39,ลำปาง
2513,ส.ค.,315.39,ลำปาง
2513,ก.ย.,284.28,ลำปาง
2513,ต.ค.,97.67,ลำปาง
2513,พ.ย.,12.65,ลำปาง
2513,ธ.ค.,33.73,ลำปาง
2514,ม.ค.,0.5,ลำปาง
2514,ก.พ.,4.11,ลำปาง
2514,มี.ค.,20.86,ลำปาง
2514,เม.ย.,48.03,ลำปาง
2514,พ.ค.,261.85,ลำปาง
2514,มิ.ย.,141.29,ลำปาง
2514,ก.ค.,285.11,ลำปาง
2514,ส.ค.,244.48,ลำปาง
2514,ก.ย.,193.88,ลำปาง
2514,ต.ค.,139.92,ลำปาง
2514,พ.ย.,10.79,ลำปาง
2514,ธ.ค.,15.88,ลำปาง
2515,ม.ค.,1.36,ลำปาง
2515,ก.พ.,6.24,ลำปาง
2515,มี.ค.,21.56,ลำปาง
2515,เม.ย.,119.07,ลำปาง
2515,พ.ค.,88.28,ลำปาง
2515,มิ.ย.,105.65,ลำปาง
2515,ก.ค.,123.52,ลำปาง
2515,ส.ค.,202.72,ลำปาง
2515,ก.ย.,179.91,ลำปาง
2515,ต.ค.,152.45,ลำปาง
2515,พ.ย.,95.25,ลำปาง
2515,ธ.ค.,14.34,ลำปาง
2516,ม.ค.,0.0,ลำปาง
2516,ก.พ.,0.1,ลำปาง
2516,มี.ค.,85.03,ลำปาง
2516,เม.ย.,13.66,ลำปาง
2516,พ.ค.,192.62,ลำปาง
2516,มิ.ย.,124.47,ลำปาง
2516,ก.ค.,207.3,ลำปาง
2516,ส.ค.,257.63,ลำปาง
2516,ก.ย.,305.48,ลำปาง
2516,ต.ค.,83.59,ลำปาง
2516,พ.ย.,26.81,ลำปาง
2516,ธ.ค.,0.0,ลำปาง
2517,ม.ค.,0.02,ลำปาง
